Sample ID,StationCode,Sample Date,Analyte,Result,Units,Method ID,DetectLimit,Temp,Remarks,footer
WQ1000,S014,2025-10-20,Chloride,2698.40,ug/L,SM 4500-NO3,0.07,66.7 F,,
WQ1001,S009,25-Oct-2025,AMMONIUM,ND,mg/L,SM 4500-NH3,0.11,60.8 F, ,
WQ1002,S006,2025-10-17,Ammonium,<0.68,mg/L,ISO 7027,0.19,61.4 F,,
WQ1003, S011,2025-10-16,Nitrate as N,ND,ug/L,SM 4500-NO3,0.06,16.7 C,,
WQ1004,S999,2025-10-27,Turbidity,<0.35,mg/L,ISO 7027,0.09,39.8 F, ,
WQ1005,S014,07-Oct-2025,Phosphate as P,~1486.67,ug/L,SM 4500-NO3,0.07,54.1 F,duplicate sample,
WQ1006, S008,10/03/2025,Nitrate as N,2.93,mg/L,SM 4500-NO3,0.19,16.7 C,duplicate sample,
WQ1007,S003,2025-10-29,Ammonium,2.68,mg/L,ISO 7027,0.18,17.7 C,duplicate sample,
WQ1008,S999,10/08/2025,Chloride,1.83,mg/L,EPA 300.0,0.08,6.0 C,matrix spike,
WQ1009,S002,22-Oct-2025,Nitrate as N,~3.16,mg/L,EPA 365.1,0.14,64.5 F,duplicate sample,
WQ1010,S015,10/05/2025,PHOSPHATE AS P,~425.84,ug/L,ISO 7027,0.08,15.8 C,,
WQ1011,S002,21-Oct-2025,Nitrate as N,<0.79,mg/L,EPA 300.0,0.17,24.4 C,,
WQ1012,S006,2025-10-13,Chloride,~1066.24,ug/L,ISO 7027,0.02,48.9 F,matrix spike,
WQ1013,S005,10/07/2025,PHOSPHATE AS P,2.78,mg/L,ISO 7027,0.03,18.9 C,matrix spike,
WQ1014,S006,02-Oct-2025,Nitrate as N,0.62,mg/L,SM 4500-NO3,0.1,22.8 C, ,
WQ1015,S008,19-Oct-2025,Nitrate as N,~1.72,mg/L,SM 4500-NH3,0.14,60.5 F,duplicate sample,
WQ1016, S009,2025-10-13,Ammonium,ND,ug/L,ISO 7027,0.05,15.3 C,,
WQ1017,S003,2025-10-18,Turbidity,<291.57,ug/L,SM 4500-NH3,0.12,74.8 F,field blank,
WQ1018,S006,15-Oct-2025,Ammonium,2.70,mg/L,EPA 365.1,0.07,62.8 F,field blank,
WQ1019,S004,2025-10-29,Turbidity,ND,mg/L,EPA 365.1,0.1,43.2 F,field blank,
WQ1020, S999,2025-10-09,Nitrate as N,ND,ug/L,SM 4500-NH3,0.07,22.5 C,duplicate sample,
WQ1021,S015,18-Oct-2025,Chloride,0.60,mg/L,EPA 365.1,0.08,6.6 C, ,
WQ1022, S002,10/27/2025,Turbidity,~1.74,mg/L,SM 4500-NO3,0.01,17.6 C,field blank,
WQ1023,S007,2025-10-22,Nitrate as N,2460.96,ug/L,EPA 365.1,0.07,52.5 F,duplicate sample,
WQ1024,S006,10/29/2025,Nitrate as N,ND,mg/L,EPA 365.1,0.14,57.5 F,field blank,
WQ1025,S006,26-Oct-2025,Nitrate as N,750.56,ug/L,EPA 300.0,0.06,49.4 F,field blank,
WQ1026,S010,2025-10-27,Phosphate as P,<0.46,mg/L,SM 4500-NH3,0.09,60.3 F,field blank,
WQ1027,S013,22-Oct-2025,Ammonium,1.43,mg/L,SM 4500-NH3,0.06,41.7 F,,
WQ1028,S004,10/20/2025,Ammonium,~2817.87,ug/L,SM 4500-NH3,0.04,19.0 C,,
WQ1029, S014,01-Oct-2025,Turbidity,ND,mg/L,SM 4500-NH3,0.06,76.9 F, ,
WQ1030,S011,2025-10-22,Ammonium,~1935.62,ug/L,EPA 365.1,0.08,40.4 F,duplicate sample,
WQ1031,S014,10/22/2025,Phosphate as P,~2344.90,ug/L,ISO 7027,0.14,17.3 C, ,
WQ1032,S011,10/15/2025,Chloride,0.50,mg/L,EPA 365.1,0.12,60.1 F,,
WQ1033,S010,17-Oct-2025,Turbidity,3480.33,ug/L,EPA 365.1,0.08,5.7 C,duplicate sample,
WQ1034,S001,2025-10-02,Chloride,~2.73,mg/L,EPA 300.0,0.2,57.0 F,matrix spike,
